timestamp, cpu_temp, cpu_util, cpu_freq, amb_temp, amb_humid, heatsink, cover, starttime
2018-03-29T01:20:26,47.2,0.25,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:20:28,47.2,0,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:20:31,47.2,0.5,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:20:33,47.2,0.25,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:20:35,47.8,0.25,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:20:38,47.8,0.25,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:20:40,47.2,0.25,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:20:43,47.2,0,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:20:45,47.2,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:20:48,47.2,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:20:50,47.2,0.25,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:20:53,47.2,0.25,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:20:55,47.2,0.25,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:20:58,47.8,0.5,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:21:00,47.2,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:21:02,47.2,0.5,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:21:05,47.2,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:21:07,47.2,0.25,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:21:10,47.2,0,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:21:12,47.2,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:21:15,46.7,0.25,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:21:17,47.2,0,600000000,11,153,False,False,2018-03-29T00:37:42
2018-03-29T01:21:20,47.2,0,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:21:22,47.2,0.25,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:21:25,47.2,0.25,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:21:27,47.2,0.5,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:21:30,47.2,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:21:32,47.2,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:21:35,47.2,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:21:37,47.2,0.25,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:21:40,46.7,0.25,600000000,22,50,False,False,2018-03-29T00:37:42
